그만 씨부려,그만 말씀해주세요,,,,
입닥쳐 새끼야,조용히해주세요 고객님,,,,
씨발 좋아,ㅎㅎ 좋아,,,,
좋아 씨발,좋아 ㅎㅎ,,,,
좀 꺼져줄래,고생하셨습니다.,,,,규칙
시발 기분좋아,ㅎㅎ 기분좋아요,,,,1. A 열에는 나쁜말을 B 열에는 착한 말을 존댓말로 써주세요
시발 슬퍼,ㅠㅠ 슬퍼요,,,,2
슬퍼 시발,슬퍼요 ㅠㅠ,,,,3. ㅋㅋㅋ 만 쓰지 말아주세요
시발 존나 웃기네,ㅋㅋ 엄청 웃기네요,,,,4. 띄어쓰기와 맞춤법을 신경써주세요
존나 웃기네 시발,엄청 웃기네요 ㅋㅋ,,,,
시발 심심해,아 심심해요,,,,
시발 화나게 하지마라,아 화가나니까 하지마세요,,,,
시발 그만해라,아 그만해주세요,,,,
미췬,저런..,,,,
미췬,저런..,,,,
미친,이런..,,,,
미친넘,멋진분,,,,
미친년,이쁜분,,,,
미친놈,멋진분,,,,
미친새끼,멋진분,,,,
미친스까이,멋진분,,,,
미틴,아,,,,
미틴넘,멋진분,,,,
미틴년,이쁜분,,,,
미틴놈,멋진분,,,,
씨부럴,어...,,,,
씨부렁,어...,,,,
씨부리,어...,,,,
씨불,어...,,,,
씨붕,어...,,,,
"씨브랄,",어...,,,,
씨빠,어...,,,,
씨빨,어...,,,,
씨뽀랄,어...,,,,
씨앙,어...,,,,
씨파,어...,,,,
씨팍,어...,,,,
씨팔,어...,,,,
씨펄,어...,,,,
씸년,저기요,,,,
씸뇬,저기요,,,,
씸새끼,저기요,,,,
씹같,저기요,,,,
씹년,저기요,,,,
씹뇬,저기요,,,,
씹보지,아..,,,,
씹새,아..,,,,
씹새기,아..,,,,
씹새끼,아..,,,,
씹새리,아..,,,,
씹세,아..,,,,
씹쉐,아..,,,,
씹스키,아..,,,,
씹쌔,아..,,,,
씹이,아..,,,,
씹자지,아..,,,,
씹질,아..,,,,
씹창,아..,,,,
씹탱,아..,,,,
씹퇭,젠장,,,,
씹팔,젠장,,,,
씹할,젠장,,,,
씹헐,젠장,,,,
이새끼가 미쳤나,그렇게 하면 되나요,,,,
이새끼가 미쳤나,이렇게 하면 되나요,,,,
이새끼가 미쳤나,진짜요,,,,
존나 어렵네,굉장히 어렵네요,,,,
존나 어렵네,매우 어렵네요,,,,
존나 어렵네 미친,와 매우 어렵네요,,,,
아니 이거 존나 어렵잖아,아 이거 매우 어렵네요,,,,
아니 이거 존나 어려운데,아 이거 매우 어려운데요,,,,
와 시발,오,,,,
지랄하네,위트있으시네요,,,,
지랄하지마,센스있으시네요,,,,
지랄하고있네,센스있으시네요,,,,
지랄맞네,하핫 너무 재밌어요,,,,
지랄,하핫,,,,
왜사냐,건강하세요,,,,
지랄맞은 새끼,재밌으신 분,,,,
죽어라,건강챙기세요,,,,
죽여버려,^^,,,,
죽을래,우와,,,,
죽고싶나,헤헷,,,,
디질래,:),,,,
슈발,헤헤,,,,
야 이 새끼야 답장 좀 하라고,괜찮으시다면 답장해 주실 수 있으신가요,,,,
아 존나 맛없네,여기 음식 맛이 바뀐 것 같아요,,,,
쫄리면 뒈지시던가,무서우시면 그만하셔도 돼요,,,,
ㅅㅂ,하..,,,,
아 ㅈ같네,아.. 너무 힘드네요,,,,
